,gene_id,TPM_C9,TPM_I9,TPM_C11,TPM_I11,TPM_C16,TPM_I16,TPM_Islet24h_1,TPM_Islet24h_2,TPM_Islet24h_3,TPM_Liver_1,TPM_Liver_2,TPM_Liver_3,TPM_Brain_1,TPM_Brain_2,TPM_Brain_3
2,MSTRG.10,7.184709,4.063987,4.984054,5.724157,1.5816569999999999,3.96464,2.739846,2.6684099999999997,2.546463,5.717725,6.38325,3.416953,1.5879349999999999,8.846023,1.22344
3,MSTRG.100,4.5164860000000004,2.695654,2.7470369999999997,2.954312,3.5667519999999997,3.270768,1.343842,3.93757,1.072273,3.148774,0.9315700000000001,2.5076549999999997,3.033433,5.803679,6.480764
4,MSTRG.1000,17.6007,26.212414000000003,25.423447,26.080704,24.946035000000002,25.941334,11.884362,14.56459,9.087697,9.065417,7.6700740000000005,6.673806,6.362329,4.957946,11.194334
5,MSTRG.10000,49.409927,53.625519,57.711937,51.562325,45.616276,46.776001,15.890779,25.748243,13.86542,19.860533,16.129627,18.125116000000002,12.822699,15.738292000000001,18.672257000000002
6,MSTRG.10001,9.129395,9.821452,6.502999,7.195256,9.929322,9.838973,4.468236,7.572628,4.316594,5.62415,4.992279,4.38286,4.798347999999999,6.215771,7.404413
9,MSTRG.10004,1.162167,0.20926399999999998,0.776413,2.892389,1.823321,3.253088,0.038697,0.278599,0.10866,8.708555,3.479456,4.726562,0.06564299999999999,0.061834,0.0
11,MSTRG.10006,5.433485,6.02555,4.539703,4.658873000000001,6.743782,7.320634,2.4859380000000004,2.744438,1.884368,7.798787999999999,7.5990779999999996,4.319844,9.945018000000001,10.39686,19.175596000000002
12,MSTRG.10007,20.628864,22.689569,19.823847,21.929582999999997,19.69516,22.337502999999998,15.603691,20.153557,15.245467,8.237323,7.487044,7.087878,10.380807,12.319452,17.999529000000003
13,MSTRG.10008,14.200539000000001,16.286793,10.599117999999999,12.575505999999999,16.733749,17.971313000000002,5.7474669999999985,11.645291,6.4485980000000005,25.289054999999998,27.078265999999996,19.386719,1.7393060000000002,2.4343,2.857803
14,MSTRG.10009,2.1136909999999998,2.7658490000000002,2.4388009999999998,2.567863,1.908981,1.52754,2.329673,2.303326,2.3877200000000003,2.0681469999999997,1.938259,2.091182,3.10742,3.5159089999999997,3.5770560000000002
15,MSTRG.1001,8.692184,12.068164999999999,13.201076,12.864755,14.321117000000001,15.202473999999999,4.6151800000000005,5.447511,3.540735,0.270283,0.450427,0.088318,5.06175,3.789404,8.111524000000001
16,MSTRG.10010,10.850897,12.741441,10.299665,11.166908,10.701758,10.664474,4.752088,7.135986,5.026771,24.542702,28.284834000000004,21.820688,3.8107230000000003,3.7618139999999998,5.592792
18,MSTRG.10012,0.0,0.104295,0.0,0.025639,0.188959,0.094236,0.232689,0.172188,0.198234,0.074791,0.0,0.029176999999999998,12.466688000000001,11.774227,30.612589
20,MSTRG.10014,7.237457000000001,7.0562309999999995,7.292742,10.287251,8.62805,11.606437,2.21926,2.218498,2.213861,12.865079000000001,12.411315,8.937099,6.932759,8.496960999999999,9.676643
21,MSTRG.10015,17.411772,22.739806,19.182774,20.692057000000002,15.108751999999999,15.972153,12.911171000000001,23.787775,13.330564,4.5468210000000004,4.021811,3.644188,10.089372000000001,10.881159,15.193373
22,MSTRG.10016,10.000741,10.279258,9.662514,10.565660000000001,11.880514,7.116707000000001,6.194684,10.521954,3.624907,6.117786,5.648185,5.530963,7.441733999999999,9.915025,9.723003
24,MSTRG.10018,38.936357,38.694545,37.525353,42.801041999999995,39.197283,44.344294,29.690873,48.306893,29.344715,23.025314999999996,24.720856,20.543944,19.977435999999997,23.917109,38.483521
26,MSTRG.1002,4.155085,6.232333000000001,5.407198,5.8166910000000005,4.393008,5.039576,0.8448030000000001,1.669327,0.598363,1.9307560000000001,2.1837929999999997,1.948954,0.505857,0.42037100000000005,0.644167
27,MSTRG.10020,1.842023,2.36939,2.284005,2.642913,0.758772,1.133509,1.449626,1.7750280000000005,1.297506,0.08508199999999999,0.109345,0.09363400000000001,3.199204,3.530754,7.212579
30,MSTRG.10023,3.922328,4.4612870000000004,3.50564,3.268708,3.20543,3.549116,2.585928,3.2852110000000003,2.3874370000000003,6.162299,6.090211,5.262183,2.725075,3.454958,4.070202
31,MSTRG.10024,22.836343,24.273377,22.779425,24.716026,27.416451000000002,26.216960999999998,9.611212,19.738203,9.149694,1.406406,1.681704,1.428555,4.6044220000000005,6.349921,8.784435
34,MSTRG.10027,1.6946169999999998,1.8133080000000001,1.7031619999999998,2.021725,3.8322769999999995,3.475223,5.6149270000000016,11.964573,7.3628919999999995,0.80882,1.091653,1.7579459999999998,8.218473999999999,8.779965,11.288143000000002
38,MSTRG.10030,0.001939,0.0,0.0008869999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.000468,0.0038280000000000002,0.0013599999999999999,3.629322,6.803136,2.588123
39,MSTRG.10031,0.015222999999999999,0.013453999999999999,0.010584,0.003783,0.015883,0.02514,0.000298,0.003542,0.0,0.0,0.0,0.0,3.744535,7.536136999999999,3.050943
40,MSTRG.10032,0.001118,0.003164,0.0,0.0042450000000000005,0.001222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.994519,5.813789,2.509158
41,MSTRG.10033,0.039564,0.033337,0.013080000000000001,0.008707,0.010387,0.010093000000000001,0.000384,0.000474,0.00181,0.0,0.001559,0.0,3.091621,6.336747,2.650617
42,MSTRG.10034,9.539953,11.911747,6.964844,8.619984,6.344215,8.025346,2.084593,2.779394,1.803929,10.910568,14.531139,10.959412,6.578161,9.789624,10.303041
43,MSTRG.10035,0.138515,0.087885,0.055859000000000006,0.026701,0.21614299999999997,0.106983,0.260237,0.178754,0.127968,0.019784999999999997,0.043549,0.047865000000000005,19.656468,30.002278,43.272273999999996
44,MSTRG.10036,0.007309,0.005845,0.001816,0.0019149999999999998,0.0,0.0008900000000000001,0.0,0.000279,0.0,0.0,0.0,0.0,6.2367550000000005,12.204019,5.29706
45,MSTRG.10037,0.011718000000000001,0.0,0.0,0.0024760000000000003,0.0,0.0,0.0,0.0,0.0,0.007319,0.0,0.0,6.345113,10.726655000000001,4.522746
46,MSTRG.10038,0.003092,0.004353,0.000784,0.0,0.0,0.0,0.0,0.0,0.0,0.000414,0.002997,0.0004,3.540668,6.450737999999999,2.5531490000000003
