"","C9","I9","C11","I11","C16","I16"
"LOC102551743",0,0,0,0,0,0
"MSTRG.1",0,0,0,0,0,0
"MSTRG.10",7.184709,4.063987,4.984054,5.724157,1.581657,3.96464
"MSTRG.100",4.516486,2.695654,2.747037,2.954312,3.566752,3.270768
"MSTRG.1000",17.6007,26.212414,25.423447,26.080704,24.946035,25.941334
"MSTRG.10000",49.409927,53.625519,57.711937,51.562325,45.616276,46.776001
"MSTRG.10001",9.129395,9.821452,6.502999,7.195256,9.929322,9.838973
"MSTRG.10002",0,0,0,0,0,0
"MSTRG.10003",0.135264,0,0,0.229099,0,0
"MSTRG.10004",1.162167,0.209264,0.776413,2.892389,1.823321,3.253088
"MSTRG.10005",0,0,0,0,0,0.024089
"MSTRG.10006",5.433485,6.02555,4.539703,4.658873,6.743782,7.320634
"MSTRG.10007",20.628864,22.689569,19.823847,21.929583,19.69516,22.337503
"MSTRG.10008",14.200539,16.286793,10.599118,12.575506,16.733749,17.971313
"MSTRG.10009",2.113691,2.765849,2.438801,2.567863,1.908981,1.52754
"MSTRG.1001",8.692184,12.068165,13.201076,12.864755,14.321117,15.202474
"MSTRG.10010",10.850897,12.741441,10.299665,11.166908,10.701758,10.664474
"MSTRG.10011",0,0,0,0,0,0
"MSTRG.10012",0,0.104295,0,0.025639,0.188959,0.094236
"MSTRG.10013",0.198499,0.109557,0.066878,0.033827,0.088481,0.250551
"MSTRG.10014",7.237457,7.056231,7.292742,10.287251,8.62805,11.606437
"MSTRG.10015",17.411772,22.739806,19.182774,20.692057,15.108752,15.972153
"MSTRG.10016",10.000741,10.279258,9.662514,10.56566,11.880514,7.116707
"MSTRG.10017",0.842564,0,0,0.506409,0.676234,0
"MSTRG.10018",38.936357,38.694545,37.525353,42.801042,39.197283,44.344294
"MSTRG.10019",0,0,0,0,0,0
"MSTRG.1002",4.155085,6.232333,5.407198,5.816691,4.393008,5.039576
"MSTRG.10020",1.842023,2.36939,2.284005,2.642913,0.758772,1.133509
"MSTRG.10021",0,0,0,0,0,0.018533
"MSTRG.10022",0,0,0,0,0,0
"MSTRG.10023",3.922328,4.461287,3.50564,3.268708,3.20543,3.549116
"MSTRG.10024",22.836343,24.273377,22.779425,24.716026,27.416451,26.216961
"MSTRG.10025",0,0,0,0,0,0
"MSTRG.10026",0,0,0,0,0,0
"MSTRG.10027",1.694617,1.813308,1.703162,2.021725,3.832277,3.475223
"MSTRG.10028",0,0,0,0,0,0.015306
"MSTRG.10029",0,0.027585,0.020835,0.031037,0,0
"MSTRG.1003",0,0.101692,0,0,0,0
"MSTRG.10030",0.001939,0,0.000887,0,0,0
"MSTRG.10031",0.015223,0.013454,0.010584,0.003783,0.015883,0.02514
"MSTRG.10032",0.001118,0.003164,0,0.004245,0.001222,0
"MSTRG.10033",0.039564,0.033337,0.01308,0.008707,0.010387,0.010093
"MSTRG.10034",9.539953,11.911747,6.964844,8.619984,6.344215,8.025346
"MSTRG.10035",0.138515,0.087885,0.055859,0.026701,0.216143,0.106983
"MSTRG.10036",0.007309,0.005845,0.001816,0.001915,0,0.00089
"MSTRG.10037",0.011718,0,0,0.002476,0,0
"MSTRG.10038",0.003092,0.004353,0.000784,0,0,0
"MSTRG.10039",0.010043,0.019789,0.012653,0.002659,0.01304,0.024465
"MSTRG.1004",8.017534,9.06849,6.933699,8.018803,4.913784,5.322776
"MSTRG.10040",0.037406,0.037223,0.016595,0.004594,0.003672,0.013097
"MSTRG.10041",0.034187,0.020804,0.013869,0.004282,0.000527,0.005284
"MSTRG.10042",0.032513,0.023529,0.021466,0.014675,0.017616,0.007608
"MSTRG.10043",0.023506,0.016875,0.012006,0.008396,0.012002,0.01538
"MSTRG.10044",0.152887,0.020594,0.005077,0,0.000644,0
"MSTRG.10045",0.07236,0.015809,0.020282,0.007387,0.066454,0.011205
"MSTRG.10046",0,0.124864,0.048817,0,0,0.126316
"MSTRG.10047",0.000762,0.016423,0.009477,0.009048,0.029822,0.001183
"MSTRG.10048",0.008891,0.037596,0.00527,0,0,0.012161
"MSTRG.10049",0,0.032181,0,0,0,0.010171
"MSTRG.1005",32.843062,40.409711,29.669208,30.36337,27.624761,28.73719
"MSTRG.10050",2.766138,3.31436,3.219744,3.786477,1.834494,1.834778
"MSTRG.10051",0,0,0,0,0,0
"MSTRG.10052",0,0,0,0,0,0
"MSTRG.10053",0,0,0,0,0,0
"MSTRG.10054",0,0,0,0,0,0
"MSTRG.10055",0,0.005737,0.011697,0.014272,0.026462,0.03743
"MSTRG.10056",2.22202,2.237727,1.764859,2.423676,4.04023,5.667432
"MSTRG.10057",0,0,0,0,0,0
"MSTRG.10058",0,0,0,0,0,0
"MSTRG.10059",0,0.030934,0,0.009795,0,0.026073
"MSTRG.1006",106.773888,134.234848,132.676514,137.161072,85.770958,82.941399
"MSTRG.10060",0.128025,0.155501,0.108478,0.102908,0.117758,0.24599
"MSTRG.10061",0,0,0,0,0,0
"MSTRG.10062",21.338692,21.021605,22.773649,23.304831,14.257343,12.577387
"MSTRG.10063",0.14841,0.213387,0.113209,0.062231,0.308789,0.109127
"MSTRG.10064",55.484924,58.82975,53.724796,56.144714,47.153141,48.505604
"MSTRG.10065",52.90295,59.244606,67.772713,64.897156,69.897301,66.952179
"MSTRG.10066",12.236941,12.658469,8.90422,9.963115,13.799423,12.50461
"MSTRG.10067",0.87348,0.569539,0.395091,0.757541,1.320923,0.878014
"MSTRG.10068",0,0,0,0,0,0
"MSTRG.10069",0,0,0,0,0,0
"MSTRG.1007",5.139148,5.018215,5.261338,7.257639,6.892378,6.856437
"MSTRG.10070",0,0,0,0,0,0
"MSTRG.10071",0.203772,0.219691,0.046981,0.15718,0.143236,0.171779
"MSTRG.10072",0.56098,0.541037,0.590427,0.897746,0.522502,1.075205
"MSTRG.10073",6.375683,7.112604,5.295569,5.705228,6.535358,6.446532
"MSTRG.10074",0,0,0,0,0,0
"MSTRG.10075",0,0,0.057299,0,0,0
"MSTRG.10076",0.255786,0.053178,0.305308,0.565753,0.185211,0
"MSTRG.10077",0.905984,0.933997,0.304425,0.94719,0.864918,0.758536
"MSTRG.10078",0.050619,0.14434,0.17219,0,0.04721,0.202108
"MSTRG.10079",19.489072,21.227463,17.999612,19.182799,21.689347,24.546859
"MSTRG.1008",18.11018,25.234484,23.442927,25.682032,24.28927,25.228768
"MSTRG.10080",4.742859,5.637197,3.937536,4.124195,9.196849,9.576683
"MSTRG.10081",5.456695,6.810905,5.400671,5.767787,4.932078,4.813116
"MSTRG.10082",0.757551,1.110775,0.698992,0.73591,0.265557,0.929337
"MSTRG.10083",2.950671,3.356319,2.521677,2.498229,2.769717,3.130247
"MSTRG.10084",0,0,0,0,0,0.049127
"MSTRG.10085",7.448602,8.544941,6.443384,6.614906,9.918042,11.607067
"MSTRG.10086",0,0,0,0,0,0.070412
"MSTRG.10087",0.051972,0,0,0,0,0
"MSTRG.10088",0,0,0,0,0,0
"MSTRG.10089",0,0,0,0,0.013405,0
"MSTRG.1009",0.067856,0,0,0.018984,0.083879,0
"MSTRG.10090",22.046644,21.621689,17.6172,22.115887,20.287489,21.275933
"MSTRG.10091",0,0,0,0.041938,0,0
"MSTRG.10092",13.312958,13.636361,12.826544,13.871748,11.464889,12.16505
"MSTRG.10093",0,0.05959,0.017764,0.11988,0.055767,0.092733
"MSTRG.10094",0,0,0,0,0,0
"MSTRG.10095",0.846528,0.903917,1.822414,1.196759,1.227958,1.110125
"MSTRG.10096",12.444789,13.423131,9.266565,11.275301,8.949766,10.344888
"MSTRG.10097",0,0,0.028286,0,0,0.119568
"MSTRG.10098",45.178038,47.238658,48.39927,48.444822,42.251392,44.244157
"MSTRG.10099",1.183753,1.106738,0.589369,1.441416,1.506956,1.921509
"MSTRG.101",0.15363,0.287584,0.066302,0.177631,0.03572,0.057355
"MSTRG.1010",0,0,0,0,0,0.096427
"MSTRG.10100",0.040038,0,0,0,0,0
"MSTRG.10101",0,0,0,0,0,0
"MSTRG.10102",0,0,0,0,0,0
"MSTRG.10103",0,0,0,0,0,0
"MSTRG.10104",17.854077,18.776388,12.539542,13.556688,35.959635,35.882457
"MSTRG.10105",3.156988,2.74356,1.125665,1.750608,6.962177,5.72429
"MSTRG.10106",0,0,0,0,0,0
"MSTRG.10107",0,0,0,0,0,0
"MSTRG.10108",0,0,0,0,0,0
"MSTRG.10109",0,0,0,0,0.005719,0
"MSTRG.1011",11.578681,15.957619,14.068345,14.821434,12.315716,13.603988
"MSTRG.10110",1.86263,1.834603,1.355843,1.827876,1.928723,2.096924
"MSTRG.10111",0.654199,0.865002,1.109254,0.562223,0.813426,0.772707
"MSTRG.10112",52.164314,59.262436,61.242652,65.003189,62.673191,65.117722
"MSTRG.10113",0,0,0,0,0,0
"MSTRG.10114",0,0,0,0,0,0
